"","k","A","B","jmax","j","E","V","i"
"1",1,0.051520101640045,0.560537460189737,1,1,0,0,3
"2",2,-1.24175540659416,-0.470283394273791,1,1,0,0,1
"3",3,-0.911608763320229,-1.12877507781253,2,1,0,0,1
"4",3,-0.911608763320229,-1.12877507781253,2,2,0,0,2
"5",4,-0.212860247516281,1.50954307116529,2,1,0,0,1
"6",4,-0.212860247516281,1.50954307116529,2,2,0,0,2
"7",5,-1.26978746961788,-0.618209533346667,1,1,1,1,1
"8",6,0.256404184569908,1.18671413097924,2,1,0,0,1
"9",6,0.256404184569908,1.18671413097924,2,2,0,0,1
"10",7,1.50548159606942,-0.0527890656418057,1,1,0,0,1
"11",8,0.135341597908421,-0.488104956314276,3,1,0,0,1
"12",8,0.135341597908421,-0.488104956314276,3,2,0,1,0
"13",8,0.135341597908421,-0.488104956314276,3,3,0,0,2
"14",9,0.609549967919137,0.704494282906459,2,1,0,0,2
"15",9,0.609549967919137,0.704494282906459,2,2,1,1,1
"16",10,0.215548018906886,-0.113206901374933,2,1,0,1,1
"17",10,0.215548018906886,-0.113206901374933,2,2,0,0,1
"18",11,0.819260054068017,0.0323032255641926,1,1,1,0,2
"19",12,0.775406653376371,-1.0579722300057,2,1,1,0,0
"20",12,0.775406653376371,-1.0579722300057,2,2,0,0,1
"21",13,-0.0986733556860485,-0.142561024073923,1,1,0,0,1
"22",14,-0.524020945608149,-0.152777039379458,1,1,0,1,1
"23",15,-1.45992203099561,-0.119116889657149,2,1,0,0,1
"24",15,-1.45992203099561,-0.119116889657149,2,2,0,0,1
"25",16,0.405532335439509,-0.557392289843946,2,1,0,0,0
"26",16,0.405532335439509,-0.557392289843946,2,2,0,0,1
"27",17,1.50407445492209,0.32942197207567,1,1,0,0,0
"28",18,-0.278374274651355,-0.844039463446152,1,1,0,0,0
"29",19,2.15260383101447,0.142539318621209,2,1,0,0,1
"30",19,2.15260383101447,0.142539318621209,2,2,0,0,3
"31",20,0.530911922827896,-0.386767896865226,2,1,0,0,2
"32",20,0.530911922827896,-0.386767896865226,2,2,0,0,0
"33",21,-1.87505932309437,0.703099268644266,2,1,0,0,1
"34",21,-1.87505932309437,0.703099268644266,2,2,0,0,0
"35",22,-0.591585206190112,0.554750098483397,2,1,0,0,1
"36",22,-0.591585206190112,0.554750098483397,2,2,0,0,0
"37",23,1.43716329789414,0.331510239236791,1,1,0,0,1
"38",24,0.438328531740625,0.429239051567329,2,1,0,0,2
"39",24,0.438328531740625,0.429239051567329,2,2,1,0,3
"40",25,-0.979703446951016,1.29121441587708,1,1,1,0,0
"41",26,-0.00466080200974581,-0.570302615508559,2,1,0,1,0
"42",26,-0.00466080200974581,-0.570302615508559,2,2,1,0,1
"43",27,-1.84809913580282,0.999209817504085,1,1,0,0,1
"44",28,0.667269765837894,-1.52633640934148,2,1,0,0,0
"45",28,0.667269765837894,-1.52633640934148,2,2,0,1,3
"46",29,1.74095020429512,-0.447906669027025,2,1,1,0,0
"47",29,1.74095020429512,-0.447906669027025,2,2,0,0,3
"48",30,2.04789269796521,-0.946114222711374,1,1,0,0,0
"49",31,0.510405490369765,0.21151470200912,2,1,0,0,2
"50",31,0.510405490369765,0.21151470200912,2,2,0,1,2
"51",32,0.174021800309348,0.409462168780315,2,1,0,1,1
"52",32,0.174021800309348,0.409462168780315,2,2,0,0,2
